id,name,now_cost,position,team,mng_clean_sheets,mng_goals_scored,now_cost_rank_type,expected_goals,threat_rank,dreamteam_count,news,influence_rank,assists,transfers_out_event,red_cards,expected_goals_conceded_per_90,bonus,birth_date,penalties_missed,news_added,ict_index_rank,threat_rank_type,minutes,starts,own_goals,web_name,form_rank_type,transfers_out,saves,cost_change_event_fall,selected_rank,in_dreamteam,corners_and_indirect_freekicks_order,selected_rank_type,can_select,value_form,form,region,creativity,points_per_game_rank,penalties_saved,bps,team_join_date,mng_draw,goals_scored,influence_rank_type,ict_index,threat,goals_conceded,form_rank,cost_change_event,transfers_in_event,expected_goals_conceded,points_per_game,goals_conceded_per_90,cost_change_start,mng_win,yellow_cards,direct_freekicks_order,cost_change_start_fall,ep_this,opta_code,expected_goal_involvements_per_90,status,value_season,starts_per_90,clean_sheets_per_90,selected_by_percent,expected_goal_involvements,expected_goals_per_90,chance_of_playing_next_round,penalties_order,transfers_in,creativity_rank_type,points_per_game_rank_type,clean_sheets,mng_underdog_win,now_cost_rank,event_points,influence,expected_assists,mng_underdog_draw,mng_loss,total_points,saves_per_90,expected_assists_per_90,ict_index_rank_type,chance_of_playing_this_round,ep_next,creativity_rank
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0,82,0.00,775,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,778,0,1,0,0.0,0,,0,2024-08-29T11:06:25.241953Z,778,334,0,0,0,Fábio Vieira,323,2817,0,0,712,False,,295,False,0.0,0.0,,0.0,776,0,0,,0,0,335,0.0,0.0,0,756,0,0,0.00,0.0,0.0,-1,0,0,,1,0.0,p438098,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,439,335,335,0,0,133,0,0.0,0.00,0,0,0,0.0,0.0,335,0.0,0.0,778
2,Gabriel Fernando de Jesus,65,FWD,Arsenal,0,0,19,3.05,100,2,Knee injury - Unknown return date,297,2,493,0,0.87,6,1997-04-03,0,2025-01-12T22:00:07.802845Z,224,30,600,6,0,G.Jesus,79,1403323,0,0,204,False,,35,True,0.0,0.0,30.0,119.5,207,0,152,2022-07-04,0,3,27,52.6,255.0,5,776,0,24,5.82,2.5,0.75,-5,0,4,,5,0.0,p205651,0.54,i,6.5,0.9,0.3,1.1,3.57,0.46,0.0,,1237772,26,27,2,0,41,0,154.4,0.52,0,0,42,0.0,0.08,29,0.0,0.0,236
3,Gabriel dos Santos Magalhães,63,DEF,Arsenal,0,0,3,2.70,88,2,,44,2,10575,0,0.91,9,1997-12-19,0,2024-11-27T10:30:06.325759Z,91,3,2258,26,0,Gabriel,15,3033161,0,0,8,False,,2,True,0.7,4.2,30.0,207.8,37,0,431,2020-09-01,0,3,15,106.4,287.0,22,70,0,26393,22.86,4.3,0.88,3,0,3,,-3,4.7,p226597,0.16,a,17.6,1.04,0.36,29.8,3.90,0.11,100.0,,4695706,32,3,9,0,54,2,567.8,1.20,0,0,111,0.0,0.05,17,100.0,4.2,155
4,Kai Havertz,77,FWD,Arsenal,0,0,4,9.39,16,1,Hamstring injury - Expected back 01 Jun,91,3,2775,0,0.93,14,1999-06-11,0,2025-02-12T09:00:08.755570Z,46,9,1839,21,0,Havertz,84,3498897,0,0,63,False,,15,True,0.0,0.0,80.0,257.0,25,0,340,2023-06-28,0,9,12,142.6,701.0,20,783,0,53,19.00,4.6,0.98,-3,0,4,,3,0.0,p219847,0.54,i,12.5,1.03,0.34,6.0,11.02,0.46,0.0,3.0,2588897,11,10,7,0,13,0,467.2,1.63,0,0,96,0.0,0.08,10,0.0,0.0,124
5,Karl Hein,40,GKP,Arsenal,0,0,56,0.00,538,0,Loaned to Real Valladolid,592,0,8,0,0.0,0,,0,2024-08-14T08:31:46.556082Z,592,35,0,0,0,Hein,56,4493,0,0,627,False,,70,False,0.0,0.0,,0.0,596,0,0,,0,0,67,0.0,0.0,0,458,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p463748,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,51,67,0,0,663,0,0.0,0.00,0,0,0,0.0,0.0,67,0.0,0.0,576
6,Jurriën Timber,56,DEF,Arsenal,0,0,10,0.75,121,2,,158,2,2446,0,0.8,5,2001-06-17,0,2025-01-12T22:00:07.815228Z,122,11,2109,24,0,J.Timber,9,975859,0,0,81,False,,27,True,0.9,4.8,152.0,268.0,77,0,355,2023-07-14,0,1,60,84.0,219.0,18,47,0,9932,18.75,3.7,0.77,1,0,7,,-1,5.3,p445122,0.08,a,16.4,1.02,0.38,4.5,1.92,0.03,100.0,,1327362,24,13,9,0,103,5,354.2,1.17,0,0,92,0.0,0.05,29,100.0,4.8,118
7,Jorge Luiz Frello Filho,47,MID,Arsenal,0,0,211,0.04,437,0,,420,0,97,0,0.75,0,1991-12-20,0,2025-01-12T22:00:07.826638Z,400,226,540,7,0,Jorginho,139,48447,0,0,355,False,,111,True,0.2,0.8,106.0,69.8,398,0,88,2023-01-31,0,0,190,11.3,5.0,5,295,0,37,4.50,1.3,0.83,-3,0,4,,3,1.3,p85955,0.09,a,3.4,1.17,0.33,0.2,0.55,0.01,100.0,,30294,179,192,2,0,326,0,37.4,0.51,0,0,16,0.0,0.08,193,100.0,0.8,294
8,Jakub Kiwior,48,DEF,Arsenal,0,0,40,0.00,740,0,,406,0,77,0,1.24,0,2000-02-15,0,,442,259,323,2,0,Kiwior,254,37121,0,0,392,False,,138,True,0.0,0.0,172.0,13.7,352,0,39,2023-01-23,0,0,144,6.3,0.0,5,699,0,58,4.45,1.6,1.39,-2,0,0,,2,0.5,p440854,0.01,a,2.7,0.56,0.28,0.2,0.03,0.0,,,26281,147,113,1,0,317,0,49.2,0.03,0,0,13,0.0,0.01,152,,0.0,421
9,Gabriel Martinelli Silva,65,MID,Arsenal,0,0,24,4.41,31,1,,134,3,1340,0,0.96,6,2001-06-18,0,2025-02-06T00:00:08.092348Z,50,18,1484,16,0,Martinelli,187,1272911,0,0,146,False,,49,True,0.0,0.2,30.0,362.2,63,0,279,2019-07-15,0,6,50,135.5,600.0,15,395,0,867,15.88,3.9,0.91,-5,0,1,,5,0.0,p444145,0.45,a,13.8,0.97,0.42,1.9,7.44,0.27,100.0,,1118453,61,32,7,0,45,1,392.8,3.03,0,0,90,0.0,0.18,34,0.0,0.2,78
12,Ethan Nwaneri,46,MID,Arsenal,0,0,232,0.82,162,0,,258,1,5206,0,0.63,4,2007-03-21,0,2025-01-04T22:00:06.872110Z,225,102,584,7,0,Nwaneri,32,184845,0,0,83,False,,27,True,0.8,3.8,241.0,160.1,198,0,172,2022-09-17,0,3,118,52.0,163.0,3,90,0,8788,4.11,2.5,0.46,1,0,1,,-1,4.3,p499175,0.31,a,9.8,1.08,0.31,4.4,2.02,0.13,100.0,,655298,124,80,2,0,358,1,197.4,1.20,0,0,45,0.0,0.18,114,100.0,3.8,187
13,Martin Ødegaard,82,MID,Arsenal,0,0,8,3.65,73,0,,168,3,2333,0,0.76,7,1998-12-17,0,2024-09-10T00:30:06.311550Z,52,49,1635,19,0,Ødegaard,52,2057415,0,0,74,False,3.0,22,True,0.3,2.8,161.0,655.7,93,0,336,2021-08-20,0,2,67,132.8,337.0,13,135,0,9732,13.83,3.5,0.72,-3,0,2,1.0,3,3.3,p184029,0.47,a,8.7,1.05,0.44,5.1,8.63,0.2,100.0,2.0,974235,16,45,8,0,11,3,332.6,4.98,0,0,71,0.0,0.27,35,100.0,2.8,20
15,David Raya Martin,55,GKP,Arsenal,0,0,2,0.00,778,2,,38,0,9619,0,0.88,9,1995-09-15,0,2025-01-30T11:00:08.979724Z,199,81,2520,28,0,Raya,6,2888798,69,0,11,False,,1,True,0.8,4.5,200.0,0.5,53,0,421,2024-07-04,0,0,11,59.3,0.0,24,54,0,8162,24.54,4.0,0.86,0,0,2,,0,5.0,p154561,0.0,a,20.2,1.0,0.36,26.0,0.01,0.0,100.0,,2819183,16,7,10,0,107,3,591.6,0.01,0,0,111,2.46,0.0,11,100.0,4.5,489
16,Declan Rice,62,MID,Arsenal,0,0,32,1.83,103,1,,67,5,856,1,0.85,11,1999-01-14,0,2024-12-14T22:30:07.561621Z,42,67,2064,24,0,Rice,25,681793,0,0,113,False,2.0,37,True,0.7,4.2,241.0,730.1,112,0,463,2023-07-15,0,2,22,148.1,247.0,22,69,0,4505,19.44,3.3,0.96,-3,0,3,2.0,3,4.7,p204480,0.29,a,13.9,1.05,0.35,2.7,6.57,0.08,100.0,,290485,10,52,8,0,57,10,508.6,4.74,0,0,86,0.0,0.21,29,100.0,4.2,12
17,Bukayo Saka,102,MID,Arsenal,0,0,3,4.17,30,4,Hamstring injury - Expected back 01 Apr,63,11,1893,0,0.75,16,2001-09-05,0,2024-12-21T21:30:07.668871Z,18,17,1268,16,0,Saka,340,7681600,0,0,43,False,1.0,12,True,0.0,0.0,241.0,630.0,3,0,435,2018-11-28,0,5,19,174.9,604.0,13,785,0,404,10.52,6.7,0.92,2,0,3,,-2,0.0,p223340,0.7,i,10.5,1.14,0.43,8.5,9.77,0.3,0.0,1.0,5224231,17,2,6,0,4,0,516.2,5.60,0,0,107,0.0,0.4,14,0.0,0.0,21
18,William Saliba,62,DEF,Arsenal,0,0,4,2.07,224,3,,68,0,5673,1,0.83,11,2001-03-24,0,2025-01-18T23:00:07.959087Z,168,59,2274,26,0,Saliba,13,4254370,0,0,13,False,,5,True,0.7,4.5,73.0,92.7,56,0,439,2019-07-25,0,2,25,70.2,101.0,20,57,0,16060,20.86,4.0,0.79,2,0,2,,-2,5.0,p462424,0.11,a,16.9,1.03,0.4,22.4,2.94,0.08,100.0,,2379017,71,6,10,0,66,2,505.8,0.87,0,0,105,0.0,0.03,46,100.0,4.5,264
20,Thomas Partey,49,MID,Arsenal,0,0,159,1.65,181,0,,82,3,569,0,0.94,6,1993-06-13,0,2024-11-30T22:00:07.258906Z,107,111,2095,23,0,Thomas,95,266438,0,0,233,False,,73,True,0.4,1.8,81.0,314.5,128,0,451,2020-10-05,0,3,29,94.0,142.0,22,205,0,328,21.77,3.1,0.95,-1,0,3,,1,2.3,p167199,0.16,a,16.9,0.99,0.26,0.8,3.75,0.07,100.0,,291523,74,55,6,0,252,2,480.4,2.10,0,0,83,0.0,0.09,67,100.0,1.8,97
